country,country_aff,name_ja
Afghanistan,Afghanistan,アフガニスタン
Albania,Albania,アルバニア
Algeria,Algeria,アルジェリア
Angola,Angola,アンゴラ
Argentina,Argentina,アルゼンチン
Armenia,Armenia,アルメニア
Australia,Australia,オーストラリア
Austria,Austria,オーストリア
Azerbaijan,Azerbaijan,アゼルバイジャン
Bangladesh,Bangladesh,バングラデシュ
Belarus,Belarus,ベラルーシ
Belgium,Belgium,ベルギー
Belize,Belize,ベリーズ
Benin,Benin,ベナン
Bhutan,Bhutan,ブータン
Bolivia,Bolivia,ボリビア
Bosnia and Herzegovina,Bosnia and Herzegovina,ボスニア・ヘルツェゴビナ
Botswana,Botswana,ボツワナ
Brazil,Brazil,ブラジル
Brunei,Brunei,ブルネイ
Bulgaria,Bulgaria,ブルガリア
Burkina Faso,Burkina Faso,ブルキナファソ
Burundi,Burundi,ブルンジ
Cambodia,Cambodia,カンボジア
Cameroon,Cameroon,カメルーン
Canada,Canada,カナダ
Central African Republic,Central African Republic,中央アフリカ共和国
Chad,Chad,チャド
Chile,Chile,チリ
China,China,中華人民共和国
Colombia,Colombia,コロンビア
Costa Rica,Costa Rica,コスタリカ
Croatia,Croatia,クロアチア
Cuba,Cuba,キューバ
Cyprus,Cyprus,キプロス
Czech Republic,Czech Republic,チェコ
Democratic Republic of the Congo,Democratic Republic of the Congo,コンゴ民主共和国
Denmark,Denmark,デンマーク
Greenland,Denmark,グリーンランド
Djibouti,Djibouti,ジブチ
Dominican Republic,Dominican Republic,ドミニカ共和国
East Timor,East Timor,東ティモール
Ecuador,Ecuador,エクアドル
Egypt,Egypt,エジプト
El Salvador,El Salvador,エルサルバドル
Equatorial Guinea,Equatorial Guinea,赤道ギニア
Eritrea,Eritrea,エリトリア
Estonia,Estonia,エストニア
Ethiopia,Ethiopia,エチオピア
Fiji,Fiji,フィジー
Finland,Finland,フィンランド
New Caledonia,France,ニューカレドニア
Réunion,France,レユニオン
Martinique,France,マルティニーク
Guadeloupe,France,グアドループ
Mayotte,France,マヨット
France,France,フランス
Gabon,Gabon,ガボン
Gambia,Gambia,ガンビア
Georgia,Georgia,ジョージア
Germany,Germany,ドイツ
Ghana,Ghana,ガーナ
Greece,Greece,ギリシャ
Guatemala,Guatemala,グアテマラ
Guinea,Guinea,ギニア
Guinea Bissau,Guinea Bissau,ギニアビサウ
Guyana,Guyana,ガイアナ
Haiti,Haiti,ハイチ
Honduras,Honduras,ホンジュラス
Hungary,Hungary,ハンガリー
Iceland,Iceland,アイスランド
India,India,インド
Indonesia,Indonesia,インドネシア
Iran,Iran,イラン
Iraq,Iraq,イラク
Ireland,Ireland,アイルランド
Israel,Israel,イスラエル
Palestine,Israel,パレスチナ
Italy,Italy,イタリア
Ivory Coast,Ivory Coast,コートジボワール
Jamaica,Jamaica,ジャマイカ
Japan,Japan,日本
Jordan,Jordan,ヨルダン
Kazakhstan,Kazakhstan,カザフスタン
Kenya,Kenya,ケニア
Kosovo,Kosovo,コソボ共和国
Kuwait,Kuwait,クウェート
Kyrgyzstan,Kyrgyzstan,キルギス
Laos,Laos,ラオス
Latvia,Latvia,ラトビア
Lebanon,Lebanon,レバノン
Lesotho,Lesotho,レソト
Liberia,Liberia,リベリア
Libya,Libya,リビア
Lithuania,Lithuania,リトアニア
Luxembourg,Luxembourg,ルクセンブルク
Macedonia,Macedonia,北マケドニア
Madagascar,Madagascar,マダガスカル
Malawi,Malawi,マラウイ
Malaysia,Malaysia,マレーシア
Mali,Mali,マリ共和国
Mauritania,Mauritania,モーリタニア
Mexico,Mexico,メキシコ
Moldova,Moldova,モルドバ
Mongolia,Mongolia,モンゴル国
Montenegro,Montenegro,モンテネグロ
Morocco,Morocco,モロッコ
Mozambique,Mozambique,モザンビーク
Myanmar,Myanmar,ミャンマー
Namibia,Namibia,ナミビア
Nepal,Nepal,ネパール
Netherlands,Netherlands,オランダ
New Zealand,New Zealand,ニュージーランド
Nicaragua,Nicaragua,ニカラグア
Niger,Niger,ニジェール
Nigeria,Nigeria,ナイジェリア
North Korea,North Korea,朝鮮民主主義人民共和国
Northern Cyprus,Northern Cyprus,北キプロス・トルコ共和国
Norway,Norway,ノルウェー
Oman,Oman,オマーン
Pakistan,Pakistan,パキスタン
Panama,Panama,パナマ
Papua New Guinea,Papua New Guinea,パプアニューギニア
Paraguay,Paraguay,パラグアイ
Peru,Peru,ペルー
Philippines,Philippines,フィリピン
Poland,Poland,ポーランド
Portugal,Portugal,ポルトガル
Qatar,Qatar,カタール
Republic of Congo,Republic of Congo,コンゴ共和国
Republic of Serbia,Republic of Serbia,セルビア
Romania,Romania,ルーマニア
Russia,Russia,ロシア
Rwanda,Rwanda,ルワンダ
Saudi Arabia,Saudi Arabia,サウジアラビア
Senegal,Senegal,セネガル
Sierra Leone,Sierra Leone,シエラレオネ
Slovakia,Slovakia,スロバキア
Slovenia,Slovenia,スロベニア
Solomon Islands,Solomon Islands,ソロモン諸島
Somalia,Somalia,ソマリア
Somaliland,Somaliland,ソマリランド
South Africa,South Africa,南アフリカ共和国
South Korea,South Korea,大韓民国
South Sudan,South Sudan,南スーダン
Spain,Spain,スペイン
Sri Lanka,Sri Lanka,スリランカ
Sudan,Sudan,スーダン
Suriname,Suriname,スリナム
Swaziland,Swaziland,エスワティニ
Sweden,Sweden,スウェーデン
Switzerland,Switzerland,スイス
Syria,Syria,シリア
Taiwan,Taiwan,中華民国
Tajikistan,Tajikistan,タジキスタン
Thailand,Thailand,タイ王国
The Bahamas,The Bahamas,バハマ
Togo,Togo,トーゴ
Trinidad and Tobago,Trinidad and Tobago,トリニダード・トバゴ
Tunisia,Tunisia,チュニジア
Turkey,Turkey,トルコ
Turkmenistan,Turkmenistan,トルクメニスタン
Uganda,Uganda,ウガンダ
Ukraine,Ukraine,ウクライナ
United Arab Emirates,United Arab Emirates,アラブ首長国連邦
Falkland Islands,United Kingdom,フォークランド諸島
United Kingdom,United Kingdom,イギリス
United Republic of Tanzania,United Republic of Tanzania,タンザニア
United States of America,United States of America,アメリカ合衆国
Puerto Rico,United States of America,プエルトリコ
Uruguay,Uruguay,ウルグアイ
Uzbekistan,Uzbekistan,ウズベキスタン
Vanuatu,Vanuatu,バヌアツ
Venezuela,Venezuela,ベネズエラ
Vietnam,Vietnam,ベトナム
Western Sahara,Western Sahara,西サハラ
Yemen,Yemen,イエメン
Zambia,Zambia,ザンビア
Zimbabwe,Zimbabwe,ジンバブエ
