country,num_users,num_days_spent_watching_mean,rank
Albania,30,62.04500964506173,107
Algeria,78,92.79770892687559,21
Andorra,6,41.127546296296295,172
Angola,7,61.98204365079365,109
Antarctica,25,43.005921759259266,167
Antigua and Barbuda,4,67.67413194444444,83
Argentina,729,69.12134587905807,70
Armenia,6,54.947974537037034,137
Aruba,8,42.79479166666667,169
Australia,2606,55.50104733378813,134
Austria,370,72.58092214089089,58
Azerbaijan,40,43.546687500000004,166
Bahrain,76,68.98296067860623,71
Bangladesh,301,73.14482177464009,52
Barbados,7,26.51438492063492,179
Belarus,144,66.38724344135802,88
Belgium,772,61.8457276824266,111
Belize,6,52.95300925925926,141
Bermuda,3,116.75208333333335,13
Bhutan,5,69.91611805555556,66
Bolivia,14,69.80269923941799,68
Bosnia and Herzegovina,88,68.45717342697812,75
Botswana,3,19.53240740740741,182
Brazil,6634,67.86213493688518,82
British Virgin Islands,2,10.105555555555554,188
Brunei,38,56.4222328825536,131
Bulgaria,783,62.279439226503,105
Burkina Faso,1,68.02913194444444,80
Cambodia,7,42.46421957671958,170
Cameroon,1,186.0134259259259,2
Canada,4633,61.29260199075073,116
Canarias,36,81.511529063786,29
Cape Verde,2,37.025,174
Cayman Islands,3,122.99143518518518,11
Chad,1,182.9388888888889,3
Chile,496,75.1918733432273,44
China,192,56.5706770230517,129
Colombia,275,74.1007050084175,49
Comoros,1,86.92291666666667,24
Costa Rica,113,72.93506196738774,55
Croatia,469,58.18273313492064,126
Cuba,3,59.47368827160494,122
Curaçao,2,53.88055555555556,138
Cyprus,30,79.25906442901234,35
Czech Republic,415,62.96723583221776,101
Democratic Republic of the Congo,4,55.49785300925925,135
Denmark,616,62.697346549573105,103
Djibouti,3,27.63449074074074,178
Dominica,3,55.52986111111111,133
Dominican Republic,59,79.20715101224106,36
Ecuador,44,72.98946206860269,53
Egypt,251,64.29954146377453,94
El Salvador,29,94.26580300127713,19
Estonia,280,66.26385846560846,89
Faroe Islands,8,81.37230324074075,31
Fiji,5,51.90291666666667,146
Finland,1102,66.67118386393426,87
France,2183,81.41540561217998,30
French Guiana,1,11.772222222222222,187
French Polynesia,4,117.68347800925926,12
Gabon,1,114.35555555555555,14
Georgia,108,68.52680780606995,73
Germany,2818,77.09049803429671,38
Ghana,2,9.103472222222223,189
Greece,759,71.64289092616991,61
Greenland,7,62.5410796957672,104
Grenada,3,42.40069444444445,171
Guam,14,49.879017857142856,151
Guatemala,43,67.38141176787252,84
Guernsey,19,44.917690058479536,162
Guinea,2,40.966319444444444,173
Guyana,5,58.736041666666665,123
Haiti,2,100.21805555555555,17
Honduras,20,70.35463599537037,63
Hungary,874,69.84112755847953,67
Iceland,60,47.881615162037036,157
India,971,66.74497436062478,86
Indonesia,2329,49.79701467407725,152
Iran,92,60.76548434983897,118
Iraq,71,74.67431549947835,47
Ireland,352,45.168334089593856,161
Isle of Man,1,18.10625,184
Israel,509,65.50598113585099,92
Italy,1438,75.32324257585124,43
Ivory Coast,1,94.08472222222224,20
Jamaica,40,52.627387152777786,143
Jersey,11,70.05473484848484,64
Jordan,61,66.83795195810565,85
Kazakhstan,59,62.867504708097925,102
Kenya,21,61.47386408730159,114
Kiribati,1,80.46118055555556,33
Kosovo,6,94.78414351851852,18
Kuwait,126,73.9765329218107,50
Kyrgyzstan,1,170.0548611111111,6
Laos,1,59.75625,120
Latvia,316,63.783952582923106,97
Lebanon,40,47.40838773148148,159
Liberia,3,28.632638888888888,177
Libya,31,51.25846326164875,149
Liechtenstein,3,56.60153935185185,128
Lithuania,642,72.42229188300449,60
Luxembourg,33,75.37065796857463,42
Macedonia,34,63.232528254357305,99
Madagascar,8,45.83738570601852,160
Malaysia,909,50.639082248502625,150
Maldives,17,71.35327682461875,62
Mali,2,21.350694444444446,181
Malta,61,68.19649950667882,76
Marshall Islands,1,2.330555555555556,192
Mauritania,1,12.575,186
Mauritius,35,72.70215509259259,56
Mexico,835,70.01070167997338,65
Moldova,51,68.19385575526508,77
Monaco,2,53.760416666666664,139
Mongolia,62,60.49754741636798,119
Montenegro,18,63.70511188271605,98
Morocco,117,85.03698846549541,25
Mozambique,2,144.8282349537037,9
Myanmar,19,47.571381578947374,158
Namibia,1,21.99861111111111,180
Nepal,48,61.302906780478395,115
Netherlands,2585,59.63889982717244,121
New Caledonia,1,176.94444444444446,4
New Zealand,541,51.98929372475526,145
Nicaragua,11,43.95437710437711,165
Nigeria,19,84.39998172514619,26
North Korea,6,89.21242283950619,22
Northern Mariana Islands,2,34.71458333333334,175
Norway,1122,58.58028479236812,124
Oman,22,58.35773358585859,125
Pakistan,162,68.12606281435757,79
Palestine,18,75.09763245884773,45
Panama,56,51.990674603174604,144
Papua New Guinea,3,8.046064814814814,190
Paraguay,21,61.99035218253969,108
Peru,176,72.93653632680976,54
Philippines,3153,48.568359520914825,154
Pitcairn Islands,1,168.00347222222223,7
Poland,6336,66.24621752098531,90
Portugal,1991,75.861763276178,39
Puerto Rico,154,55.227737043049544,136
Qatar,57,74.1129292560104,48
Republic of Congo,1,16.396527777777777,185
Republic of Serbia,405,61.79720036008231,113
Romania,1242,69.66471521440926,69
Russia,3276,68.47574081493352,74
Réunion,4,176.4785821759259,5
Saint Kitts and Nevis,3,48.75324074074075,153
Saint Lucia,5,44.53208333333334,164
Saint Pierre and Miquelon,1,68.88333333333334,72
Saint Vincent and the Grenadines,2,44.63062500000001,163
Samoa,1,105.83402777777778,15
San Marino,2,102.06527777777778,16
Saudi Arabia,628,79.95085627875089,34
Sierra Leone,1,42.92986111111111,168
Singapore,755,61.16005693524651,117
Slovakia,318,61.802902763219194,112
Slovenia,107,83.21129294305987,27
Solomon Islands,1,216.35347222222225,1
Somalia,1,19.422916666666666,183
South Africa,278,61.895262331801234,110
South Georgia and South Sandwich Islands,1,0.9770833333333332,193
South Korea,128,64.01222366898148,95
Spain,1639,75.61832102484578,41
Sri Lanka,46,57.44496150362319,127
Sudan,18,68.19224022633745,78
Suriname,6,56.46701388888889,130
Svalbard,2,48.32118055555556,155
Swaziland,1,29.30625,176
Sweden,1810,65.90048916768978,91
Switzerland,221,64.74948456091839,93
Syria,41,63.93165819783198,96
Taiwan,31,62.10826874253286,106
Thailand,215,48.1191430878553,156
The Bahamas,11,51.43794191919192,148
Togo,1,8.01875,191
Trinidad and Tobago,51,67.96861292665214,81
Tunisia,96,80.86101429880401,32
Turkey,1011,63.07583898871671,100
Uganda,4,75.75086805555556,40
Ukraine,570,72.588098501462,57
United Arab Emirates,334,72.50083815008871,59
United Kingdom,5397,52.666109856556105,142
United Republic of Tanzania,2,137.7392361111111,10
United States Virgin Islands,2,146.01493055555557,8
United States of America,23576,53.753178517819435,140
Uruguay,83,78.50592704149932,37
Uzbekistan,7,74.94163194444444,46
Vatican,2,81.75924189814815,28
Venezuela,266,73.97249673663325,51
Vietnam,203,51.51375570151432,147
Yemen,7,87.34408564814815,23
Zimbabwe,5,55.96925925925925,132
